Exporters;Exported value in 2004;Exported value in 2005;Exported value in 2006;Exported value in 2007;Exported value in 2008;Exported value in 2009;Exported value in 2010;Exported value in 2011;Exported value in 2012;Exported value in 2013;Exported value in 2014;Exported value in 2015;Exported value in 2016;Exported value in 2017;Exported value in 2018;Exported value in 2019;Exported value in 2020;Exported value in 2021;Exported value in 2022;Exported value in 2023
Mauritius;14222;18895;19137;25757;23048;16767;19928;27580;26194;25547;29533;27400;26128;31647;46149;44888;33804;35984;46048;50239
Bahamas;96990;115692;139575;143353;152893;123376;105002;137500;156828;187113;171754;87365;80597;101085;90308;69921;58939;67215;35007;46715
Armenia;649;1021;3214;7227;5518;5227;6541;8448;11263;11539;11136;10787;8865;7716;12148;12365;12497;15003;38793;39518
Nicaragua;4349;4581;3250;8428;11564;8699;8899;9554;10573;11417;15016;27691;11804;10638;11384;11900;11744;21151;46019;38763
Tanzania, United Republic of;5192;12644;43767;45250;35880;25931;85289;70029;45998;53919;36063;32507;39498;28163;36515;28863;28727;64205;42790;37918
Myanmar;;;;;;;1118;14578;5675;22678;10978;14764;31142;49889;59086;66821;45912;43586;41666;37191
Zambia;2491;7366;9009;5543;11090;15573;13175;6439;22369;21193;9577;9572;10808;14011;17150;23934;19453;25598;46155;34972
Nigeria;;;14768;108931;574746;154529;422384;159051;100760;232882;106417;44609;40724;78541;71412;44756;7187;55168;63723;34803
Nepal;;;;;;24945;22170;16925;19223;16579;14066;9962;8194;8263;7652;7993;6782;8515;10553;34625
Botswana;7702;9618;15692;20735;18003;14883;18781;30011;35923;28709;32477;30253;27742;22224;24253;18098;25286;32168;29182;34030
Turkmenistan;45093;63816;65855;104441;97678;75606;96249;75696;134882;107358;105872;87264;80434;71463;73633;127121;145270;167714;116734;33535
Cyprus;12659;11915;11023;11984;12901;10642;11837;15697;18455;19737;18904;17818;22501;25816;27762;26830;28912;36050;34299;32374
Senegal;27544;31188;33233;40668;43392;50635;36616;31746;37621;35194;41865;37920;41458;40790;42269;33113;38334;29370;39316;31207
Iraq;;;;;;;;;;;125;14105;16344;12228;12486;12517;9396;18107;27405;31122
Algeria;2094;18774;50636;22897;8975;6790;5089;4238;6010;7193;4448;3698;3608;3863;9655;8636;8174;15596;34835;27144
Georgia;830;473;1338;1872;1220;1509;1718;2934;8027;12295;15229;6702;7675;13792;18465;17052;9284;24241;44997;25955
Venezuela, Bolivarian Republic of;165694;188543;45919;113433;67581;22695;73602;26456;1367;29559;34375;34055;42967;74542;26508;17232;8349;14356;22200;24881
